card_name,Bus,Subway,on_area_name,on_lon,on_lat,on_dong,on_hour,on_minute,on_second,off_area_name,off_lon,off_lat,off_dong,off_hour,off_minute,off_second,no_transfer,total_distance,total_time,route_id,Haversine,Circuity
+++0VxU0B9DrLE4nxWaOzEArKFNI3ep9kMPVTZVHGNM=,False,True,영등포시장역,126.905118,37.522694,1119074,12,42,8,충무로역,126.993624,37.561135,1102060,13,16,20,0,11000,2052,,8897.367673225355,1.23632071911584
+++0VxU0B9DrLE4nxWaOzEArKFNI3ep9kMPVTZVHGNM=,False,True,충무로역,126.993624,37.561135,1102060,16,2,9,중곡역,127.084283,37.565891,1105057,16,36,50,0,9400,2081,,8008.336597732509,1.1737768368354458
+++0VxU0B9DrLE4nxWaOzEArKFNI3ep9kMPVTZVHGNM=,False,True,중곡역,127.084283,37.565891,1105057,18,22,39,선유도역,126.893294,37.538159,1119062,19,19,46,0,20100,3427,,17116.78367426386,1.174286033083516
+++19/4InCnN/eZXlK0pT7oFlp3qEbVXHX4NFSiyAN8=,True,False,LG전자.문래중,126.885883,37.52039,1119076,16,11,56,문래역,126.89441200000002,37.519063,1119076,16,15,3,0,768,187,11110803.0,766.5398913478966,1.0019048045230052
+++3lFnkOIxAPXhin+oeJBZJeI8l5KOhgxcjhFqGTlc=,True,False,강남구청.강남세무서,127.047293,37.518428,1123078,18,4,57,청담동래미안아파트,127.04291200000002,37.517653,1123078,18,6,30,0,397,93,11110214.0,395.87862062695655,1.0028326343344016
+++F6kFULTd2oQ7KiAe3olIQ0mzelgLbSx+q6rqtJqA=,True,False,중동초등학교,126.910317,37.566667,1114073,9,12,48,연희104고지앞.구성산회관,126.925082,37.566285,1113076,9,16,56,0,1457,248,11110027.0,1302.0563869982932,1.1189991574473264
+++F6kFULTd2oQ7KiAe3olIQ0mzelgLbSx+q6rqtJqA=,True,False,홍대입구역,126.923352,37.55679,1114066,13,51,2,성산2교,126.91321299999998,37.563907,1114072,13,55,24,0,1432,262,41110070.0,1193.729519672543,1.1996017325539692
+++Mu6n16tNt3pAX8k72E1UlIZXRqojexmEcPIaArto=,False,True,압구정역,127.028481,37.526492,1123077,14,57,34,회현역,126.978434,37.558734,1102052,15,19,1,0,6700,1287,,5685.353573642184,1.1784667238748017
+++Mu6n16tNt3pAX8k72E1UlIZXRqojexmEcPIaArto=,False,True,을지로3가역,126.992593,37.566424,1101061,18,1,40,압구정역,127.028481,37.526492,1123077,18,16,6,0,6000,866,,5452.191576364905,1.100474903708415
+++PAYzWTdRTGJKcBiZ1g/w9Ik/WgyDTTve7H410Tbo=,False,True,창동역,127.047672,37.653205,1110063,9,51,57,미아사거리역,127.030084,37.613251,1109072,10,8,24,0,5700,987,,4704.914692242687,1.2114991180175865
+++PAYzWTdRTGJKcBiZ1g/w9Ik/WgyDTTve7H410Tbo=,False,True,미아사거리역,127.030084,37.613251,1109072,10,15,38,창동역,127.047672,37.653205,1110063,10,27,22,0,5700,704,,4704.914692242687,1.2114991180175865
+++PAYzWTdRTGJKcBiZ1g/w9Ik/WgyDTTve7H410Tbo=,True,False,창동동아청솔아파트,127.049803,37.65668,1110062,16,42,55,서울북부지방법원.검찰청.도봉역성황당,127.045102,37.677257,1110065,17,14,21,1,4324,1408,11110125.0,2325.174602295621,1.8596452910379115
+++RMwmDvlX7/Bu2YH4Fig119rLahZxZBYhIF0EfftA=,False,True,구산역,126.91723600000002,37.611235,1112056,10,49,14,신설동역,127.024509,37.576044,1101071,11,39,56,0,13600,3042,,10229.439112794158,1.3294961581021794
+++RMwmDvlX7/Bu2YH4Fig119rLahZxZBYhIF0EfftA=,False,True,신설동역,127.024509,37.576044,1101071,15,31,5,역촌역,126.922828,37.606211,1112058,16,28,30,0,12200,3445,,9566.420894293413,1.2752940869743226
+++SiEJEQjWAlmKA3tCMRO9LFMANuD027C2YFMXFgPA=,False,True,가락시장역,127.118331,37.492969,1124066,18,3,24,천호역,127.123178,37.537911,1125073,18,19,59,0,6200,995,,5015.581294938104,1.2361478431736819
+++hwe6sDUIfU418K96nXu2/+QWJM9ZzzBZtxvK3rAM=,False,True,중계역,127.064084,37.645064,1111077,21,31,2,태릉입구역,127.075364,37.618432,1111079,21,39,54,0,3100,532,,3123.504638763608,0.9924749147249828
+++ogj6NDcqECtZxleEzk4vnNYM4RJ4s6tgOqiKH+fI=,False,True,우장산역,126.836309,37.548738,1116067,7,50,8,우장산역,126.836309,37.548738,1116067,7,50,11,0,0,3,,0.0,
+++ogj6NDcqECtZxleEzk4vnNYM4RJ4s6tgOqiKH+fI=,True,True,수유역,127.025505,37.637873,1109065,9,31,4,덕성여대후문.효문중고교앞,127.017223,37.652775,1110051,9,50,17,1,2541,570,11110582.0,1810.3761195526406,1.4035757390723331
+++ogj6NDcqECtZxleEzk4vnNYM4RJ4s6tgOqiKH+fI=,True,False,등촌3동그랜드백화점,126.838558,37.56009,1116064,19,52,58,명덕고등학교.웰튼병원,126.836345,37.553203,1116067,19,57,38,0,788,280,11110856.0,790.256336263392,0.997144804590798
+++r3+FgI85iGPhRcgtiKwftkrmYubIR5ElVCUr2gdw=,True,False,농협답십리역지점,127.050678,37.56849,1104070,6,54,54,회기시장,127.056588,37.590807,1106072,7,16,2,1,3456,1006,11110097.0,2535.6029690096575,1.3629894120804829
+++r3+FgI85iGPhRcgtiKwftkrmYubIR5ElVCUr2gdw=,True,False,경희중고,127.057747,37.592923,1106089,15,58,9,답십리2동두산아파트,127.058512,37.572755,1106086,16,14,59,1,2416,644,11110970.0,2243.5953229370675,1.0768430363980432
+++vDzCHwn+LQGQy0eij9gjfqoSwUEiZwxldzKO+2/k=,True,False,마천2동윤진빌딩.신동아아파트,127.144172,37.499758,1124056,14,50,33,장지역.가든파이브,127.125472,37.479907,1124069,15,18,2,1,3862,1111,11110209.0,2755.799850504292,1.4014080156413686
+++z2QZbaM3N3dPvf59qc6qlvCYjeXlzMcMUd2v04n0=,True,False,길음동동부아파트,127.023345,37.607743,1108066,7,54,39,종로1가,126.98018700000002,37.5704,1101061,8,34,28,1,7305,2374,11110073.0,5630.521578239754,1.2973931275268697
+++z2QZbaM3N3dPvf59qc6qlvCYjeXlzMcMUd2v04n0=,True,False,경복궁,126.978748,37.575618,1101061,20,52,28,미아리고개.미아리예술극장,127.021812,37.597945,1108058,21,11,59,0,5334,1171,11110027.0,4534.558897635254,1.1762996402542374
+++z2QZbaM3N3dPvf59qc6qlvCYjeXlzMcMUd2v04n0=,True,False,미아리고개.미아리예술극장,127.021812,37.597945,1108058,23,33,41,돈암동삼성아파트입구,127.024597,37.601918,1108058,23,35,53,0,587,132,11110021.0,505.3384912703185,1.1615976422544045
++/2SXEIGG51APpoYQhtiLMn2e1d5zZjYSZOpFgutbY=,False,True,우장산역,126.836309,37.548738,1116067,7,24,43,여의도역,126.924758,37.522027,1119054,7,47,44,0,10100,1381,,8345.427667194977,1.2102435492553685
++/2SXEIGG51APpoYQhtiLMn2e1d5zZjYSZOpFgutbY=,False,True,여의도역,126.924758,37.522027,1119054,18,22,42,우장산역,126.836309,37.548738,1116067,18,53,46,0,10100,1864,,8345.427667194977,1.2102435492553685
++/3NAGPAsraH3w4Jfr30hnwICmAk2F/bmY9wtVAwiA=,True,False,석수역,126.902775,37.434857,3104161,8,41,58,안양대교,126.911145,37.4109,3104161,8,48,25,0,2855,387,41110050.0,2764.5417796696584,1.032720872947397
++/4APEd8MUfetx1mbN73D49GSPadi8mIuEkaRKusig=,True,False,갈월동,126.971712,37.549578,1103053,13,6,15,용문시장,126.961327,37.536057,1103072,13,14,26,0,2173,491,11110171.0,1760.3283103099695,1.234428820620038
++/4APEd8MUfetx1mbN73D49GSPadi8mIuEkaRKusig=,True,False,남정초등학교,126.963658,37.536378000000006,1103072,14,49,17,KT광화문지사,126.977378,37.57241,1101061,15,12,48,0,4541,1411,41110070.0,4185.14913084732,1.0850270463553673
++/4APEd8MUfetx1mbN73D49GSPadi8mIuEkaRKusig=,True,False,세종문화회관,126.97656299999998,37.572702,1101061,15,46,16,후암시장,126.976808,37.550118,1103051,16,4,46,1,3225,978,11110171.0,2511.3225452211186,1.284183907852443
++/BIGd0fW3QMGjWCZYVTJ0rlAuXkHyGqrMU9hMnjCI=,False,True,서울대입구역,126.952685,37.48125,1121061,12,48,28,청담역,127.053723,37.519447,1123078,13,31,57,0,11800,2609,,9873.464667121949,1.195122522623016
++/BIGd0fW3QMGjWCZYVTJ0rlAuXkHyGqrMU9hMnjCI=,False,True,청담역,127.053723,37.519447,1123078,15,18,3,남부터미널역,127.01616,37.485199,1122053,15,44,11,0,6600,1568,,5048.004071857136,1.3074474398297964
++/BKm2p3AwMlchsHfnQgFs6JRToIm5A9GDZYxtC6K4=,False,True,녹번역,126.935819,37.6008,1112051,8,28,25,수서역,127.102314,37.487534,1123075,9,26,0,0,25100,3455,,19341.59132762114,1.2977215563517492
++/F6rCbeVMyNw4WXsTUYLqcoFpMNz5YCPS742g4Btk=,True,False,철산교앞,126.85939,37.4881,1117065,7,38,55,개봉역.림괄아파트,126.858727,37.493768,1117064,7,42,4,0,765,189,11110556.0,632.9624046986763,1.2086025873277269
++/KLwmqY8LPmWMnMDJbleYSEri8smHLYpsAlMWRNUg=,True,False,경인교육대학교,126.915168,37.432333,3104160,7,57,10,삼성산주공307동앞,126.927325,37.461788,1121082,8,11,56,3,3823,621,11410004.0,3446.6008663318644,1.1092087968017974
++/KLwmqY8LPmWMnMDJbleYSEri8smHLYpsAlMWRNUg=,True,False,201동.동신교회,126.925877,37.46426,1121082,16,47,3,벽산아파트1단지.호압사입구,126.920847,37.452785,1118058,16,55,10,1,1596,295,11110543.0,1350.9993607512295,1.181347709233953
++/Kc4NQeC63XX0iLdBm7/CkYfNnl+C3ejgk5SwhHdk=,False,True,보문역,127.019633,37.585408,1108082,11,9,49,고속터미널역,127.004956,37.504872,1122059,11,46,22,0,11100,2193,,9048.210285807345,1.226761939586109
++/Kc4NQeC63XX0iLdBm7/CkYfNnl+C3ejgk5SwhHdk=,False,True,고속터미널역,127.004956,37.504872,1122059,15,1,20,신방화역,126.817221,37.56752,1116070,15,36,57,0,19800,2137,,17959.44376482193,1.102484033429992
++/MI/QJHCugGrUS1Kj6KpxJ0L/e+mWZARzyKd2fG5c=,False,True,성신여대입구역,127.016623,37.592742,1108083,15,16,58,사당역,126.981664,37.477312,1120063,15,51,36,0,16300,2078,,13200.21132334019,1.2348287160508455
++/MI/QJHCugGrUS1Kj6KpxJ0L/e+mWZARzyKd2fG5c=,False,True,사당역,126.981578,37.476556,1120063,16,20,20,낙성대역,126.963508,37.477071,1121057,16,26,47,0,1700,387,,1595.603790427296,1.0654274013379896
++/MI/QJHCugGrUS1Kj6KpxJ0L/e+mWZARzyKd2fG5c=,False,True,사당역,126.981578,37.476556,1120063,22,9,19,성신여대입구역,127.016623,37.592742,1108083,22,45,30,0,16300,2171,,13283.730700793934,1.227064923788751
++/PBIVmj0LsrAbSwdwBklXluQzdEJLYzoKa8dol+l8=,True,False,북부수도사업소,127.03613500000002,37.634258,1109061,10,15,49,장곡초교,127.048583,37.61615,1108076,10,35,5,1,2597,805,11110117.0,2292.617969909277,1.1327661363933077
++/PBIVmj0LsrAbSwdwBklXluQzdEJLYzoKa8dol+l8=,True,False,장곡초교,127.04849,37.61582,1108076,17,24,32,한성운수차고지,127.036702,37.634382,1109061,17,37,20,1,2919,691,11110968.0,2310.385012969879,1.2634257855783866
++/bKfhqyIvvR46PPneeMZ7X9h+wJ2UxSoO2Kl/hKNo=,True,True,마포구청역,126.903394,37.56348,1114073,7,58,9,예술의전당,127.014055,37.48113,1122053,8,57,11,1,17550,3367,11110746.0,13382.53537255172,1.3114106939702896
++/bKfhqyIvvR46PPneeMZ7X9h+wJ2UxSoO2Kl/hKNo=,False,True,남부터미널역,127.01616,37.485199,1122053,18,28,59,동대입구역,127.005308,37.55907,1102058,18,52,53,0,10500,1434,,8269.657916485003,1.2697018553898054
++/bKfhqyIvvR46PPneeMZ7X9h+wJ2UxSoO2Kl/hKNo=,False,True,동대입구역,127.005308,37.55907,1102058,21,9,34,마포구청역,126.903394,37.56348,1114073,21,40,47,0,10900,1873,,8996.536896930531,1.2115773130123992
++/kL/lVeuVyeJcZnUoMZfiKi4gRlTG1PHzL7u3HRLU=,True,True,강일중선사고.양지종합시장,127.136093,37.554623,1125072,7,45,50,숙대입구역,126.97212,37.544576,1103071,8,42,54,1,22173,3351,11110038.0,14498.69368083094,1.5293101908426026
++/kL/lVeuVyeJcZnUoMZfiKi4gRlTG1PHzL7u3HRLU=,True,False,원효로우체국,126.966932,37.53866,1103072,9,12,46,원효로3가,126.958185,37.534087,1103057,9,16,2,0,932,196,11110024.0,923.7998179599603,1.0088765789737308
++/kL/lVeuVyeJcZnUoMZfiKi4gRlTG1PHzL7u3HRLU=,True,True,원효로3가,126.958328,37.533843,1103057,19,44,9,암사역,127.127534,37.55014600000001,1125058,20,54,15,1,18884,3318,41110006.0,15028.180941396724,1.2565725734631004
++/lqOVVxqlTR9A/LcFakgmafY5nVIEALkU1Xk/CoeQ=,False,True,먹골역,127.07773600000002,37.610587,1107065,17,59,37,상봉역,127.085698,37.595728,1107059,18,5,48,0,1900,371,,1794.9655893745069,1.05851611376132
++/lqOVVxqlTR9A/LcFakgmafY5nVIEALkU1Xk/CoeQ=,False,True,상봉역,127.085698,37.595728,1107059,19,51,33,먹골역,127.07773600000002,37.610587,1107065,20,0,23,0,1900,530,,1794.9655893745069,1.05851611376132
++/pDf79IY70e2jSjwn0Imm7E1XEQoaEY+P8hdcgSAc=,False,True,남부터미널역,127.01616,37.485199,1122053,16,10,13,장승배기역,126.939009,37.504844,1120052,16,39,23,0,10500,1750,,7148.421136050512,1.4688558214690228
++/wPrFybiQiZVjn0QEZpNxMQ5tJuhYl5EBoQIU+OuQ=,True,False,미림여고.미림여자정보과학고,126.931632,37.46507,1121082,5,10,34,미림고개.고시촌입구,126.932,37.467637,1121073,5,11,22,0,299,48,11110242.0,287.2796066525187,1.0407978606071324
++/wPrFybiQiZVjn0QEZpNxMQ5tJuhYl5EBoQIU+OuQ=,True,False,서울메트로,126.986168,37.476745,1122063,9,54,40,미림여고.미림여자정보과학고,126.931333,37.465575,1121082,10,29,31,1,8402,1868,11110050.0,4996.097461739285,1.681712589544845
++/wPrFybiQiZVjn0QEZpNxMQ5tJuhYl5EBoQIU+OuQ=,True,False,미림여고.미림여자정보과학고,126.931333,37.465575,1121082,12,9,14,신우초등학교,126.93198,37.462322,1121082,12,56,12,2,7758,1888,11110912.0,366.19732239996904,21.185299633421504
++/wY0MdeVvszEyupltegigWMNcK1hMH9SjeIarOVE0=,True,False,원효2동주민센터,126.951395,37.534493,1103057,16,42,8,우성아파트입구,126.94746299999998,37.537958,1114075,16,52,52,0,643,644,11110621.0,518.3151506890349,1.240557987057126
++0+AF5DrAwDAhs4dtxwmXZne521sC9v6QHhgi8B3kc=,False,True,마포구청역,126.903394,37.56348,1114073,7,2,34,동대문역사문화공원역,127.008977,37.565669,1102059,7,35,51,0,10800,1997,,9309.335526928357,1.160125765019396
++0+IcJlX3sp/z7x/fYmUurOeF1AG4Obm3Uer5fW9Ek=,True,False,중앙대중문,126.95727,37.506627,1120071,21,44,40,삼각지역,126.974015,37.535317,1103073,22,1,40,1,5269,806,11110602.0,3515.418423588613,1.4988258480540402
++0+t97aIoVEbGuVhHneGnNNNTg4IZBDYNN6I4Jg9Uk=,False,True,길동역,127.140003,37.537833,1125074,13,0,38,광화문역,126.976482,37.571631,1101053,13,38,26,0,16300,2268,,14896.603565528048,1.094209155012994
++0+t97aIoVEbGuVhHneGnNNNTg4IZBDYNN6I4Jg9Uk=,False,True,종각역,126.983102,37.570164,1101061,15,19,9,가락시장역,127.117621,37.492224,1124066,16,16,24,0,17600,3435,,14690.596448925075,1.1980452979693557
++0+t97aIoVEbGuVhHneGnNNNTg4IZBDYNN6I4Jg9Uk=,True,False,길동역1번출구,127.139885,37.538022,1125074,18,46,13,신천동진주아파트,127.109278,37.516633,1124075,19,11,9,0,4915,1496,11110213.0,3597.4336342394317,1.3662517504757603
++0+t97aIoVEbGuVhHneGnNNNTg4IZBDYNN6I4Jg9Uk=,True,False,잠실진주아파트,127.109607,37.516225,1124058,19,53,57,길동역3번출구,127.14,37.537232,1125074,20,16,42,0,4833,1365,11110213.0,3555.2616266197138,1.3593936276906686
++0/+AYaGgvchnjnnHDgDz2dGVixYyqVH1zV+35s1R0=,True,False,상도역.하나은행,126.94729,37.50391,1120054,10,13,53,노량진역,126.94147,37.513753,1120072,10,20,27,0,1544,394,11110602.0,1208.9069424266158,1.2771868088545826
++03S67AwX8pFJP1p6UUqwMjXR+cIBY9s7lL424Gmx4=,True,False,삼선교.한성대학교,127.00936000000002,37.58992,1108082,8,26,39,롯데백화점,126.982205,37.56451,1102055,8,47,44,0,4596,1265,11110014.0,3702.697095484501,1.2412573541608078
++03S67AwX8pFJP1p6UUqwMjXR+cIBY9s7lL424Gmx4=,False,True,을지로입구역,126.982161,37.56599600000001,1102055,17,8,58,한양대역,127.043672,37.555735,1104055,17,25,48,0,5900,1010,,5540.640494304565,1.0648588382633442
++03S67AwX8pFJP1p6UUqwMjXR+cIBY9s7lL424Gmx4=,True,True,한양대역,127.043672,37.555735,1104055,21,56,41,한신103동앞,127.00821299999998,37.592062,1108082,22,28,58,1,6744,1305,11110679.0,5107.070412243586,1.3205222281314297
++04hXRAJIG5c+BvWw9LcpxHW5AN6upYU6mehZG1VEE=,True,False,푸른마을,127.122975,37.369815,3102352,6,29,53,조계사,126.983163,37.572843,1101061,7,20,31,0,28543,3038,41110130.0,25727.45029014071,1.1094375726357255
++04hXRAJIG5c+BvWw9LcpxHW5AN6upYU6mehZG1VEE=,True,False,서울역버스환승센터,126.972753,37.555437,1102054,22,5,1,중앙공원.샛별마을우방아파트,127.126298,37.372627,3102354,23,5,4,0,29263,3603,41110130.0,24430.738997244178,1.1977943034511116
++04wpmAaLpwQ7faUc+bL+uj/7gdv5a8KSI1TQJPVFk=,False,True,을지로3가역,126.990967,37.566277,1101061,9,53,41,왕십리역,127.03708799999998,37.561248,1104056,10,5,5,0,4100,684,,4103.459929137327,0.9991568263862505
++06Ld2wcero/8B1bN1YxNhybi9R4z/mMRjIkae3yog=,True,False,한남동새마을금고,127.000468,37.537047,1103074,16,21,13,KT&G관악지점,126.9374,37.484495,1121078,17,8,36,1,10872,2443,11110009.0,8067.976580425039,1.3475497718198928
++0D+X7PnNk8vgdwFjG+bAFwXEYKPCAXqbZip0Ts5tE=,True,False,청량리역환승센타,127.045497,37.580402,1106083,7,47,59,응암역신사오거리,126.915115,37.599082,1112074,8,45,17,1,13400,3256,11110068.0,11674.337802527789,1.1478167093210685
++0D+X7PnNk8vgdwFjG+bAFwXEYKPCAXqbZip0Ts5tE=,True,False,서부병원,126.923577,37.600612,1112059,20,18,44,은평구청,126.930393,37.601197,1112059,20,21,43,0,616,179,41110011.0,603.9866096144889,1.0198901601364623
++0DlweEEPanRsBKyGLJgXvq31laenaCoNUnwYI/CfM=,True,False,우리현대마트,126.96751299999998,37.471145,1121062,8,55,26,서초동예술의전당,127.012862,37.481737,1122053,9,23,52,1,4842,1118,11110539.0,4171.5317605166065,1.1607247116824928
++0DlweEEPanRsBKyGLJgXvq31laenaCoNUnwYI/CfM=,True,False,서초3동주민센터,127.011592,37.483207,1122053,18,35,26,낙성대역,126.96488,37.476427,1121062,19,0,11,1,4124,1033,41110040.0,4190.283299450326,0.9841816663185945
++0JL44UeBxvkiaFrCnmADu3zr62G6eVmh5MFaXbxvY=,True,False,염창동관음삼성아파트,126.869372,37.552973,1116051,14,23,55,목운초등학교.목운중학교,126.873777,37.526443,1115051,14,38,20,1,3254,678,11110285.0,2975.462720690542,1.093611416258919
++0JL44UeBxvkiaFrCnmADu3zr62G6eVmh5MFaXbxvY=,True,False,오목교역.대학학원,126.87416,37.524842,1115051,21,39,51,염창동새마을금고,126.873338,37.55028,1116051,22,4,8,1,4231,997,11110697.0,2829.5088636256014,1.495312509669467
++0O/lQzFiEAKfC2qSaV3kjoxR+fJ1O7t1lThVvLj18=,False,True,마천역,127.152865,37.495039,1124056,6,47,10,구의역,127.086165,37.537117,1105060,7,29,59,0,10900,2569,,7516.594455580659,1.4501247957986276
++0O/lQzFiEAKfC2qSaV3kjoxR+fJ1O7t1lThVvLj18=,False,True,구의역,127.086165,37.537117,1105060,17,54,22,마천역,127.152865,37.495039,1124056,18,38,37,0,10900,2655,,7516.594455580659,1.4501247957986276
++0OGqdGIzCchpAfzZO5nrTcVwIoAsilHcPl3bkOUzs=,True,False,씨티월드,126.840682,37.494463,1117067,11,11,59,당산역,126.900525,37.534728,1119056,11,46,26,3,9433,1944,11110343.0,6921.3202112557055,1.3628902741213602
++0OGqdGIzCchpAfzZO5nrTcVwIoAsilHcPl3bkOUzs=,True,False,선유도역.롯데제과,126.894922,37.537225,1119062,17,54,34,오류동역,126.842528,37.495607,1117067,18,41,7,1,9795,2561,11110282.0,6539.8492277315945,1.4977409507340407
++0OMibbg20CRjxlpaJRyPDpxw4WeEmDHAm58nNhAo0=,True,False,건대입구역,127.068165,37.540943,1105053,4,41,42,도산공원.호림아트센터앞,127.033285,37.522192,1123077,5,11,43,1,7734,1278,11110358.0,3715.8146734240395,2.0813739865215863
++0Q5jsXb9rTGqSlNkcGuhuW8RUiWv7ofpuVfYsqCWQ=,True,False,봉원중학교.행운동우성아파트,126.955342,37.484857,1121061,8,50,10,관악사삼거리,126.95666,37.460528,1121073,9,7,56,0,3741,1066,11110236.0,2707.7643723140354,1.3815825476730714
++0Q5jsXb9rTGqSlNkcGuhuW8RUiWv7ofpuVfYsqCWQ=,True,False,관악사삼거리,126.956725,37.460787,1121073,20,58,17,서울대입구역,126.95273,37.480108,1121058,21,6,49,0,3068,512,11110238.0,2177.137152225202,1.4091900443039462
++0UQH/5KGofv8PLACmduSWBeNs7/0k+4/uADnzCVVc=,True,False,트리플메디컬타운,126.717085,37.725063,3120058,17,16,2,일산동구청(중),126.774237,37.657893,3110359,17,51,19,0,10425,2117,91000034.0,9004.14297392449,1.1578003625875593
++0XX59KeTNTutMmQGNxS/DBUpqC7X/dL5WbmKtMziw=,True,False,길동역1번출구,127.139885,37.538022,1125074,9,49,38,미아사거리역,127.030145,37.612935,1109072,10,42,1,0,15008,3143,11110010.0,12763.974619672012,1.1758092950819148
++0XX59KeTNTutMmQGNxS/DBUpqC7X/dL5WbmKtMziw=,True,False,미아사거리역,127.030002,37.613803,1109072,22,18,39,강동역(동신중학교),127.13097,37.53605200000001,1125066,23,2,22,0,13966,2623,11110010.0,12406.536645140328,1.1256969128020524
++0czLbqJeyI2fTZ8TqsVmGgVQZkF7YYjaHWrZYXAf4=,True,False,성동세무서,127.06431299999998,37.54828,1104069,16,37,20,마장축산물시장,127.03775,37.56989,1104054,16,50,26,0,4308,786,11110188.0,3355.063469053932,1.2840293603193085
++0czLbqJeyI2fTZ8TqsVmGgVQZkF7YYjaHWrZYXAf4=,True,False,동대문구청.용신동주민센터,127.03798799999998,37.575307,1106081,17,34,57,화양리,127.0709,37.547807,1105053,17,55,48,0,5511,1251,11110188.0,4215.014871253575,1.3074686966314286
++0dieRaUHSr854vQhCe2fMf0keiAyborRfGYMjEvnY=,True,False,공덕오거리,126.95301200000002,37.542877,1114077,8,39,3,서울지방조달청.서울성모병원,127.003933,37.49926,1122060,9,11,26,0,7499,1943,41110042.0,6609.841574044733,1.1345203838843552
++0eDRwuKf2o0D68nA7Viu83dOgFWTzcmeezZd8g6iU=,False,True,응암역,126.915539,37.598479,1112074,12,54,3,연신내역,126.920904,37.619418,1112055,13,13,30,0,2400,1167,,2375.7922806536767,1.0101893248595213
++0eDRwuKf2o0D68nA7Viu83dOgFWTzcmeezZd8g6iU=,False,True,연신내역,126.920904,37.619418,1112055,13,19,37,학동역,127.031902,37.514323,1123053,14,14,58,0,20400,3321,,15240.51531784758,1.338537416520972
++0eDRwuKf2o0D68nA7Viu83dOgFWTzcmeezZd8g6iU=,False,True,학동역,127.031902,37.514323,1123053,14,31,37,응암역,126.915539,37.598479,1112074,15,29,18,0,21000,3461,,13884.598325241283,1.5124672322585946
++0eX0oPa/47cOWCP5Gme0gfdKKPLlc+3gbHB76HP1k=,True,False,양재역4번출구,127.036837,37.485113,1123066,18,40,9,성촌마을입구.우면초등학교,127.024668,37.464328,1122066,18,56,13,0,3486,964,11110802.0,2548.491194380597,1.36786817536847
++0ffwc8ELHKGwG+SrQ/KR/m5BEbaZ1UovS81jKPzXE=,True,True,연남동,126.927508,37.56244,1114071,19,19,56,동묘앞역,127.015677,37.572157,1101067,20,2,45,1,8907,2126,11110072.0,7845.743642576135,1.1352652349822894
++0ffwc8ELHKGwG+SrQ/KR/m5BEbaZ1UovS81jKPzXE=,True,False,동대문(흥인지문),127.012453,37.572102,1101067,21,13,57,연희동대우아파트,126.927908,37.562593,1114071,21,56,14,0,8867,2537,41110215.0,7526.216575578142,1.1781483977982474
++0gnebrjmqWDSDZkWwPkn7VnAzPFftEss6hQqJdWhE=,True,False,서부경찰서앞,126.92247,37.601188,1112059,13,36,53,삼거리,126.930897,37.606078,1112051,13,41,22,0,992,269,11110716.0,920.2027142759747,1.07802333617383
++0gnebrjmqWDSDZkWwPkn7VnAzPFftEss6hQqJdWhE=,True,False,불광역3호선.서울혁신파크,126.931067,37.609067,1112058,16,48,3,홍제역,126.944378,37.58854,1113062,16,55,26,0,2634,443,11110051.0,2566.1332397206634,1.0264470913781252
++0gnebrjmqWDSDZkWwPkn7VnAzPFftEss6hQqJdWhE=,True,False,홍제역,126.94533,37.587887,1113065,23,50,31,서대문세무서별관,126.926305,37.601417,1112059,23,57,4,0,2566,393,41110011.0,2252.347540168496,1.1392558005537814
++0h3mwFTElPpmKLNERUt5Ii0xXEGvPNgQ68cO/4MuI=,False,True,부천시청역,126.763717,37.50465300000001,3105166,8,35,5,부천종합운동장역,126.797215,37.505449,3105351,8,49,32,1,3000,867,,2956.2180934810476,1.0148101070809015
